GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e1,com.example,Prestamo,0,26,0,0,0,8,0,3,0,3
e1,com.example,Multa,18,0,0,0,6,0,2,0,2,0
e1,com.example,Lector,0,17,0,0,0,7,0,2,0,2
e1,com.example,Autor,0,17,0,0,0,6,0,1,0,1
e1,com.example,Copia,0,20,0,0,0,9,0,3,0,3
e1,com.example,Libro,0,20,0,0,0,7,0,1,0,1
